number	blank_name	blank_type	fabric	color_options	size_range	blank_moq	compatible_crafts	craft_min_order	price_range_usd	image_url	decoration_area	lead_time_days	notes
B012	320gsm Zip-Up Hoodie Blank (Full Zip)	Hoodie	320gsm 80% Cotton 20% Polyester French Terry	Black, Navy, Heather Gray	XS-3XL	50	Embroidery|Heat Transfer|Screen Print|DTF	{"embroidery":50,"heat_transfer":50,"screen_print":100,"dtf":50}	9.0-13.0	/blank-apparel/hoodie-zip-black-front.webp	Left chest 8x8cm; Full back 30x40cm; Sleeve 8x25cm	45	拉链卫衣，工装风
B013	220gsm Crew Neck Sweatshirt Blank	Sweatshirt	220gsm 80% Cotton 20% Polyester Fleece	Black, Navy, Heather Gray, White	XS-3XL	50	Embroidery|Heat Transfer|Screen Print|DTF	{"embroidery":50,"heat_transfer":50,"screen_print":100,"dtf":50}	6.5-9.5	/blank-apparel/sweatshirt-black-front.webp	Left chest 8x8cm; Full back 30x40cm	40	套头卫衣，无帽
B014	6-Panel Structured Baseball Cap Blank	Cap	100% Cotton Twill (heavy weight)	Black, Navy, White, Red, Royal Blue, Forest Green, Khaki	One Size (adjustable)	100	Embroidery|Heat Transfer	{"embroidery":100,"heat_transfer":100}	2.5-4.0	/blank-apparel/cap-6panel-black-front.webp	Front panel 10x5cm (embroidery); Side 6x4cm	30	经典棒球帽；绣 logo 主力
B015	5-Panel Unstructured Cap Blank	Cap	100% Cotton Canvas	Black, Navy, White, Khaki, Olive	One Size (adjustable)	100	Embroidery|Heat Transfer	{"embroidery":100,"heat_transfer":100}	2.0-3.5	/blank-apparel/cap-5panel-black-front.webp	Front panel 10x5cm (embroidery)	30	街头风帽；适合潮牌
B016	Snapback Flat-Brim Cap Blank	Cap	100% Acrylic / Cotton Blend	Black, Navy, White, Gray, Camo	One Size (snap)	100	Embroidery|Heat Transfer|Sublimation	{"embroidery":100,"heat_transfer":100,"sublimation":100}	3.0-4.5	/blank-apparel/cap-snapback-black-front.webp	Front panel 10x5cm (embroidery); Sublimation full panel	30	嘻哈风帽；品牌赠品
B017	Hi-Vis Safety Vest Blank (Class 2)	Vest	100% Polyester Oxford with Reflective Tape	High-Vis Yellow, High-Vis Orange	S-5XL	100	Embroidery|Heat Transfer|Screen Print	{"embroidery":100,"heat_transfer":100,"screen_print":200}	4.5-7.0	/blank-apparel/vest-safety-yellow-front.webp	Left chest 10x10cm; Back 25x25cm	30	建筑/施工/物流工服；反光条
B018	Padded Puffy Vest Blank (Outdoor)	Vest	100% Polyester with Padding	Black, Navy, Olive, Burgundy	XS-3XL	50	Embroidery|Heat Transfer	{"embroidery":50,"heat_transfer":50}	9.0-13.0	/blank-apparel/vest-puffy-black-front.webp	Left chest 8x8cm (embroidery)	40	户外/品牌促销；可绣可印
B019	Adjustable Apron Blank (Cross-Back)	Home	100% Cotton Canvas (heavy weight)	Black, Navy, Beige, Olive, Red	One Size (adjustable)	50	Embroidery|Heat Transfer|Screen Print|DTF	{"embroidery":50,"heat_transfer":50,"screen_print":50,"dtf":50}	4.5-7.0	/blank-apparel/apron-black-front.webp	Front pocket 20x15cm (embroidery); Front body 30x40cm (print)	30	餐饮/咖啡店/零售工服
B020	Bib Apron Blank (Restaurant Style)	Home	100% Cotton Canvas or Polyester	Black, Navy, White, Khaki, Brown	One Size	50	Embroidery|Heat Transfer|Screen Print	{"embroidery":50,"heat_transfer":50,"screen_print":50}	4.0-6.5	/blank-apparel/apron-bib-black-front.webp	Front body 30x40cm (print); Top 25x8cm (embroidery)	30	餐厅/咖啡店主力
B021	Scarf Blank (Polyester)	Home	100% Polyester Satin / Microfiber	White, Black, Navy, Red, Custom	One Size (180x30cm)	100	Sublimation|Heat Transfer	{"sublimation":100,"heat_transfer":100}	1.5-3.0	/blank-apparel/scarf-poly-white-front.webp	Full surface 170x28cm (sublimation)	25	促销赠品/活动；可全幅印
B022	Drawstring Backpack Blank	Accessory	210D Polyester	White, Black, Navy, Red, Forest Green	One Size (35x42cm)	100	Sublimation|Heat Transfer|Screen Print	{"sublimation":100,"heat_transfer":100,"screen_print":200}	1.5-3.0	/blank-apparel/bag-drawstring-white-front.webp	Front panel 25x30cm; Side 8x30cm	25	活动赠品/学校
B023	Tote Bag Blank (Canvas)	Accessory	100% Cotton Canvas 12oz	Natural, Black, Navy, Beige	One Size (38x42cm)	100	Heat Transfer|Screen Print|DTF|Embroidery	{"heat_transfer":100,"screen_print":200,"dtf":100,"embroidery":100}	2.0-3.5	/blank-apparel/tote-natural-front.webp	Front panel 30x35cm (print); Top 25x5cm (embroidery)	30	环保袋/活动/品牌
B024	Beanie Blank (Knit)	Accessory	100% Acrylic Knit	Black, Navy, Gray, Red, Burgundy	One Size	100	Embroidery|Heat Transfer	{"embroidery":100,"heat_transfer":100}	2.0-3.0	/blank-apparel/beanie-black-front.webp	Front cuff 8x5cm (embroidery)	30	冬季促销/校园
B025	Bucket Hat Blank	Accessory	100% Cotton Twill or Polyester	Black, Navy, Khaki, Camo	One Size (M/L)	100	Embroidery|Heat Transfer|Sublimation	{"embroidery":100,"heat_transfer":100,"sublimation":100}	2.5-4.0	/blank-apparel/bucket-black-front.webp	Front panel 10x5cm (embroidery); Sublimation full	30	户外/潮牌
